id	state_name	county_name	pop2014	bush_donors	bush_donations	carson_donors	carson_donations	christie_donors	christie_donations	clinton_donors	clinton_donations	cruz_donors	cruz_donations	fiorina_donors	fiorina_donations	graham_donors	graham_donations	huckabee_donors	huckabee_donations	jindal_donors	jindal_donations	kasich_donors	kasich_donations	omalley_donors	omalley_donations	pataki_donors	pataki_donations	paul_donors	paul_donations	rubio_donors	rubio_donations	sanders_donors	sanders_donations	santorum_donors	santorum_donations	trump_donors	trump_donations
2240	Alaska	Southeast Fairbanks Census Area	6931	0	0	1	500	0	0	0	0	2	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1250	0	0	0	0
2261	Alaska	Valdez-Cordova Census Area	9488	0	0	2	450	0	0	1	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	500	0	0	1	250	0	0	0	0
2270	Alaska	Wade Hampton Census Area	8010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2275	Alaska	Wrangell City and Borough	2364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2282	Alaska	Yakutat City and Borough	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2290	Alaska	Yukon-Koyukuk Census Area	5547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4001	Arizona	Apache County	71828	0	0	2	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	250	0	0	0	0
4003	Arizona	Cochise County	127448	1	250	7	1600	0	0	0	0	3	1000	1	350	0	0	0	0	0	0	0	0	0	0	0	0	1	250	2	450	1	250	0	0	2	750
4005	Arizona	Coconino County	137682	1	2700	5	3550	0	0	6	2000	4	1900	6	6650	0	0	0	0	0	0	0	0	0	0	0	0	1	500	1	600	9	2265	0	0	1	250
4007	Arizona	Gila County	53119	2	5100	3	2750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6400	0	0	0	0	0	0	1	500
4009	Arizona	Graham County	37957	0	0	4	1105	0	0	0	0	0	0	0	0	0	0	3	2000	0	0	0	0	0	0	0	0	4	1950	0	0	1	500	0	0	0	0
4011	Arizona	Greenlee County	9346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4012	Arizona	La Paz County	20231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4013	Arizona	Maricopa County	4087191	158	557450	283	133195	6	13950	206	166853	129	92030	174	146276	4	6650	43	44999	5	8850	21	19650	2	3200	0	0	66	129534	204	308851	131	59619	4	10800	31	16514
4015	Arizona	Mohave County	203361	0	0	16	5000	0	0	1	1000	2	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	700	1	1000	2	450	0	0	0	0
4017	Arizona	Navajo County	108101	0	0	5	1970	0	0	0	0	1	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	250
4019	Arizona	Pima County	1004516	27	268400	89	38650	2	1500	44	32202	34	20441	8	7800	1	500	4	5900	0	0	6	5200	3	3200	0	0	13	8103	21	18600	90	37800	0	0	8	5700
4021	Arizona	Pinal County	401918	1	1000	8	2850	0	0	8	4150	7	3250	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	11	3752	2	500	7	3500	0	0	0	0
4023	Arizona	Santa Cruz County	46695	0	0	1	450	0	0	0	0	2	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	250	3	800	0	0	0	0
4025	Arizona	Yavapai County	218844	4	2500	64	22350	0	0	13	21150	18	5425	6	4050	0	0	0	0	0	0	0	0	0	0	0	0	9	4942	4	3250	23	11623	0	0	2	500
4027	Arizona	Yuma County	203247	0	0	8	2424	0	0	3	1000	2	1250	1	200	0	0	0	0	0	0	0	0	0	0	0	0	1	500	4	3250	1	365	0	0	1	250
5001	Arkansas	Arkansas County	18594	0	0	0	0	0	0	1	2700	1	250	0	0	0	0	3	3700	0	0	0	0	0	0	0	0	1	250	1	2700	0	0	0	0	0	0
5003	Arkansas	Ashley County	20948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5005	Arkansas	Baxter County	40857	0	0	1	300	0	0	2	5400	1	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	300	0	0	2	1500	0	0	0	0
5007	Arkansas	Benton County	242321	52	144950	27	16025	2	5400	32	30553	9	2725	4	1550	0	0	14	21650	1	2700	1	250	0	0	0	0	2	451	0	0	0	0	0	0	0	0
5009	Arkansas	Boone County	37196	0	0	2	750	0	0	7	2924	2	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	201	0	0	0	0	0	0	1	250
5011	Arkansas	Bradley County	11148	0	0	0	0	0	0	2	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5013	Arkansas	Calhoun County	5202	0	0	0	0	0	0	2	5400	0	0	0	0	0	0	5	1950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5015	Arkansas	Carroll County	27744	0	0	0	0	0	0	1	300	0	0	0	0	0	0	1	500	0	0	0	0	0	0	0	0	0	0	0	0	1	250	0	0	0	0
5017	Arkansas	Chicot County	11180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5019	Arkansas	Clark County	22576	0	0	0	0	0	0	11	11953	0	0	0	0	0	0	4	1700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
